claim_id,location,claim_type,value_paper,needs_block,digits
c3_margin_m1_treated_se,Table C.3,pipeline,47.141,TRUE,3
c3_margin_m2_treated_coef,Table C.3,pipeline,45.304,TRUE,3
c3_margin_m2_treated_se,Table C.3,pipeline,34.952,TRUE,3
c3_turnout_m1_treated_coef,Table C.3,pipeline,-11.279,TRUE,3
c3_turnout_m1_treated_se,Table C.3,pipeline,104.825,TRUE,3
c3_turnout_m2_treated_coef,Table C.3,pipeline,-64.870,TRUE,3
c3_turnout_m2_treated_se,Table C.3,pipeline,56.283,TRUE,3
c3_margin_m1_adjacent_coef,Table C.3,pipeline,72.074,TRUE,3
c3_margin_m1_adjacent_se,Table C.3,pipeline,39.568,TRUE,3
c3_margin_m2_adjacent_coef,Table C.3,pipeline,34.385,TRUE,3
c3_margin_m2_adjacent_se,Table C.3,pipeline,32.779,TRUE,3
c3_turnout_m1_adjacent_coef,Table C.3,pipeline,35.978,TRUE,3
c3_turnout_m1_adjacent_se,Table C.3,pipeline,96.364,TRUE,3
c3_turnout_m2_adjacent_coef,Table C.3,pipeline,-16.077,TRUE,3
c3_turnout_m2_adjacent_se,Table C.3,pipeline,50.347,TRUE,3
c3_margin_m1_constant_coef,Table C.3,pipeline,-436.675,TRUE,3
c3_margin_m1_constant_se,Table C.3,pipeline,33.171,TRUE,3
c3_margin_m2_constant_coef,Table C.3,pipeline,-256.773,TRUE,3
c3_margin_m2_constant_se,Table C.3,pipeline,38.569,TRUE,3
c3_turnout_m1_constant_coef,Table C.3,pipeline,1141.189,TRUE,3
c3_turnout_m1_constant_se,Table C.3,pipeline,87.706,TRUE,3
c3_turnout_m2_constant_coef,Table C.3,pipeline,224.736,TRUE,3
c3_turnout_m2_constant_se,Table C.3,pipeline,94.425,TRUE,3
c4_margin_m1_treated_coef,Table C.4,pipeline,5.859,TRUE,3
c4_margin_m1_treated_se,Table C.4,pipeline,26.721,TRUE,3
c4_margin_m2_treated_coef,Table C.4,pipeline,-9.335,TRUE,3
c4_margin_m2_treated_se,Table C.4,pipeline,19.548,TRUE,3
c4_turnout_m1_treated_coef,Table C.4,pipeline,-47.222,TRUE,3
c4_turnout_m1_treated_se,Table C.4,pipeline,64.914,TRUE,3
c4_turnout_m2_treated_coef,Table C.4,pipeline,7.223,TRUE,3
c4_turnout_m2_treated_se,Table C.4,pipeline,28.411,TRUE,3
c4_margin_m1_adjacent_coef,Table C.4,pipeline,-1.170,TRUE,3
c4_margin_m1_adjacent_se,Table C.4,pipeline,22.994,TRUE,3
c4_margin_m2_adjacent_coef,Table C.4,pipeline,-6.031,TRUE,3
c4_margin_m2_adjacent_se,Table C.4,pipeline,12.054,TRUE,3
c4_turnout_m1_adjacent_coef,Table C.4,pipeline,-21.082,TRUE,3
c4_turnout_m1_adjacent_se,Table C.4,pipeline,57.357,TRUE,3
c4_turnout_m2_adjacent_coef,Table C.4,pipeline,14.528,TRUE,3
c4_turnout_m2_adjacent_se,Table C.4,pipeline,22.331,TRUE,3
c4_margin_m1_constant_coef,Table C.4,pipeline,-124.637,TRUE,3
c4_margin_m1_constant_se,Table C.4,pipeline,16.563,TRUE,3
c4_margin_m2_constant_coef,Table C.4,pipeline,-19.087,TRUE,3
c4_margin_m2_constant_se,Table C.4,pipeline,22.042,TRUE,3
c4_turnout_m1_constant_coef,Table C.4,pipeline,360.647,TRUE,3
c4_turnout_m1_constant_se,Table C.4,pipeline,46.072,TRUE,3
c4_turnout_m2_constant_coef,Table C.4,pipeline,5.229,TRUE,3
c4_turnout_m2_constant_se,Table C.4,pipeline,28.481,TRUE,3
c1_margin_m1_n,Table C.1,pipeline,88,TRUE,0
c1_margin_m2_n,Table C.1,pipeline,88,TRUE,0
c1_turnout_m1_n,Table C.1,pipeline,88,TRUE,0
c1_turnout_m2_n,Table C.1,pipeline,88,TRUE,0
c1_margin_m1_r2,Table C.1,pipeline,0.015,TRUE,3
c1_margin_m2_r2,Table C.1,pipeline,0.666,TRUE,3
c1_turnout_m1_r2,Table C.1,pipeline,0.066,TRUE,3
c1_turnout_m2_r2,Table C.1,pipeline,0.959,TRUE,3
c1_label_n_treated,Table C.1,pipeline,23,TRUE,0
c1_label_n_adjacent,Table C.1,pipeline,49,TRUE,0
c2_margin_m1_n,Table C.2,pipeline,69,TRUE,0
c2_margin_m2_n,Table C.2,pipeline,69,TRUE,0
c2_turnout_m1_n,Table C.2,pipeline,69,TRUE,0
c2_turnout_m2_n,Table C.2,pipeline,69,TRUE,0
c2_margin_m1_r2,Table C.2,pipeline,0.048,TRUE,3
c2_margin_m2_r2,Table C.2,pipeline,0.501,TRUE,3
c2_turnout_m1_r2,Table C.2,pipeline,0.067,TRUE,3
c2_turnout_m2_r2,Table C.2,pipeline,0.695,TRUE,3
c2_label_n_treated,Table C.2,pipeline,15,TRUE,0
c2_label_n_adjacent,Table C.2,pipeline,41,TRUE,0
c3_margin_m1_n,Table C.3,pipeline,131,TRUE,0
c3_margin_m2_n,Table C.3,pipeline,131,TRUE,0
c3_turnout_m1_n,Table C.3,pipeline,131,TRUE,0
c3_turnout_m2_n,Table C.3,pipeline,131,TRUE,0
c3_margin_m1_r2,Table C.3,pipeline,0.043,TRUE,3
c3_margin_m2_r2,Table C.3,pipeline,0.652,TRUE,3
c3_turnout_m1_r2,Table C.3,pipeline,0.003,TRUE,3
c3_turnout_m2_r2,Table C.3,pipeline,0.736,TRUE,3
c3_label_n_treated,Table C.3,pipeline,30,TRUE,0
c3_label_n_adjacent,Table C.3,pipeline,76,TRUE,0
c4_margin_m1_n,Table C.4,pipeline,88,TRUE,0
c4_margin_m2_n,Table C.4,pipeline,88,TRUE,0
c4_turnout_m1_n,Table C.4,pipeline,88,TRUE,0
c4_turnout_m2_n,Table C.4,pipeline,88,TRUE,0
c4_margin_m1_r2,Table C.4,pipeline,0.001,TRUE,3
c4_margin_m2_r2,Table C.4,pipeline,0.627,TRUE,3
c4_turnout_m1_r2,Table C.4,pipeline,0.009,TRUE,3
c4_turnout_m2_r2,Table C.4,pipeline,0.877,TRUE,3
c4_label_n_treated,Table C.4,pipeline,20,TRUE,0
c4_label_n_adjacent,Table C.4,pipeline,44,TRUE,0
d5_e1_treated_coef,Table D.5,pipeline,0.031,TRUE,3
d5_e1_treated_se,Table D.5,pipeline,0.017,TRUE,3
d5_e2_treated_coef,Table D.5,pipeline,-0.009,TRUE,3
d5_e2_treated_se,Table D.5,pipeline,0.060,TRUE,3
d5_e3_treated_coef,Table D.5,pipeline,0.020,TRUE,3
d5_e3_treated_se,Table D.5,pipeline,0.009,TRUE,3
d5_e4_treated_coef,Table D.5,pipeline,-0.014,TRUE,3
d5_e4_treated_se,Table D.5,pipeline,0.026,TRUE,3
d5_e1_adjacent_coef,Table D.5,pipeline,0.021,TRUE,3
d5_e1_adjacent_se,Table D.5,pipeline,0.014,TRUE,3
d5_e2_adjacent_coef,Table D.5,pipeline,0.011,TRUE,3
d5_e2_adjacent_se,Table D.5,pipeline,0.046,TRUE,3
d5_e3_adjacent_coef,Table D.5,pipeline,0.020,TRUE,3
d5_e3_adjacent_se,Table D.5,pipeline,0.007,TRUE,3
d5_e4_adjacent_coef,Table D.5,pipeline,-0.020,TRUE,3
d5_e4_adjacent_se,Table D.5,pipeline,0.021,TRUE,3
d5_e1_support_coef,Table D.5,pipeline,0.027,TRUE,3
d5_e1_support_se,Table D.5,pipeline,0.042,TRUE,3
d5_e2_support_coef,Table D.5,pipeline,-0.020,TRUE,3
d5_e2_support_se,Table D.5,pipeline,0.033,TRUE,3
d5_e3_support_coef,Table D.5,pipeline,0.028,TRUE,3
d5_e3_support_se,Table D.5,pipeline,0.009,TRUE,3
d5_e4_support_coef,Table D.5,pipeline,0.020,TRUE,3
d5_e4_support_se,Table D.5,pipeline,0.021,TRUE,3
d5_e1_treated_x_coef,Table D.5,pipeline,0.031,TRUE,3
d5_e1_treated_x_se,Table D.5,pipeline,0.030,TRUE,3
d5_e2_treated_x_coef,Table D.5,pipeline,0.033,TRUE,3
d5_e2_treated_x_se,Table D.5,pipeline,0.063,TRUE,3
d5_e3_treated_x_coef,Table D.5,pipeline,0.010,TRUE,3
d5_e3_treated_x_se,Table D.5,pipeline,0.008,TRUE,3
d5_e4_treated_x_coef,Table D.5,pipeline,-0.021,TRUE,3
d5_e4_treated_x_se,Table D.5,pipeline,0.027,TRUE,3
d5_e1_adjacent_x_coef,Table D.5,pipeline,0.011,TRUE,3
d5_e1_adjacent_x_se,Table D.5,pipeline,0.025,TRUE,3
d5_e2_adjacent_x_coef,Table D.5,pipeline,0.053,TRUE,3
d5_e2_adjacent_x_se,Table D.5,pipeline,0.033,TRUE,3
d5_e3_adjacent_x_coef,Table D.5,pipeline,0.008,TRUE,3
d5_e3_adjacent_x_se,Table D.5,pipeline,0.008,TRUE,3
d5_e4_adjacent_x_coef,Table D.5,pipeline,-0.016,TRUE,3
d5_e4_adjacent_x_se,Table D.5,pipeline,0.020,TRUE,3
d5_e1_constant_coef,Table D.5,pipeline,0.159,TRUE,3
d5_e1_constant_se,Table D.5,pipeline,0.110,TRUE,3
d5_e2_constant_coef,Table D.5,pipeline,0.306,TRUE,3
d5_e2_constant_se,Table D.5,pipeline,0.238,TRUE,3
d5_e3_constant_coef,Table D.5,pipeline,0.539,TRUE,3
d5_e3_constant_se,Table D.5,pipeline,0.045,TRUE,3
d5_e4_constant_coef,Table D.5,pipeline,0.477,TRUE,3
d5_e4_constant_se,Table D.5,pipeline,0.113,TRUE,3
d5_e1_n,Table D.5,pipeline,88,TRUE,0
d5_e1_r2,Table D.5,pipeline,0.829,TRUE,3
d5_e2_n,Table D.5,pipeline,69,TRUE,0
d5_e2_r2,Table D.5,pipeline,0.277,TRUE,3
d5_e3_n,Table D.5,pipeline,131,TRUE,0
d5_e3_r2,Table D.5,pipeline,0.829,TRUE,3
d5_e4_n,Table D.5,pipeline,88,TRUE,0
d5_e4_r2,Table D.5,pipeline,0.181,TRUE,3
text_intro_fifteen_years,"Introduction, p. 143",structural,15,FALSE,0
text_intro_four_campaigns,"Introduction, p. 143",structural,4,FALSE,0
text_design_e1_counties,"Section 3, p. 144",structural,2,FALSE,0
text_design_e1_precincts,"Section 3, p. 144",definitional,97,FALSE,0
text_design_e1_treatable,"Section 3, p. 144",pipeline,88,TRUE,0
text_design_e2_initial,"Section 3, p. 144",definitional,128,TRUE,0
text_design_e2_restricted,"Section 3, p. 144",pipeline,69,TRUE,0
text_design_e3_districts_used,"Section 3, p. 144",structural,5,FALSE,0
text_design_e3_districts_total,"Section 3, p. 144",structural,9,FALSE,0
text_design_e3_precincts,"Section 3, p. 144",pipeline,131,TRUE,0
text_design_e4_precincts,"Section 3, p. 144",pipeline,88,TRUE,0
text_design_e4_county_total,"Section 3, p. 144",definitional,107,FALSE,0
text_fn1_e1_treated_actual,"Footnote 1, p. 144",definitional,22,FALSE,0
text_fn1_e1_treated_assigned,"Footnote 1, p. 144",pipeline,23,TRUE,0
text_fn1_e1_ratio,"Footnote 1, p. 144",definitional,0.96,FALSE,2
text_fn1_e4_treated_actual,"Footnote 1, p. 144",definitional,17,FALSE,0
text_fn1_e4_treated_assigned,"Footnote 1, p. 144",pipeline,20,TRUE,0
text_fn1_e4_ratio,"Footnote 1, p. 144",definitional,0.85,FALSE,2
text_e1_sign_width,"Section 3.1, p. 145",structural,18,FALSE,0
text_e1_sign_height,"Section 3.1, p. 145",structural,24,FALSE,0
text_e1_weekends_prior,"Section 3.1, p. 145",structural,2,FALSE,0
text_e1_cluster_low,"Section 3.1, p. 145",structural,4,FALSE,0
text_e1_cluster_high,"Section 3.1, p. 145",structural,5,FALSE,0
text_e1_sign_allocation,"Section 3.1, p. 145",structural,40,FALSE,0
text_e1_untreated_precinct,"Section 3.1, p. 145",structural,1,FALSE,0
text_e2_sign_width,"Section 3.2, p. 145",structural,18,FALSE,0
text_e2_sign_height,"Section 3.2, p. 145",structural,24,FALSE,0
text_e2_weeks_deployed,"Section 3.2, p. 145",structural,4,FALSE,0
text_e3_weeks_prior,"Section 3.3, p. 145",structural,3,FALSE,0
text_e3_clump_size,"Section 3.3, p. 145",structural,5,FALSE,0
text_e3_clump_locations,"Section 3.3, p. 145",structural,3,FALSE,0
text_e4_candidates,"Section 3.4, p. 145",structural,2,FALSE,0
text_e4_signs_planted,"Section 3.4, p. 145",structural,200,FALSE,0
text_e4_weeks_prior,"Section 3.4, p. 145",structural,2,FALSE,0
text_e4_failure_to_treat,"Section 3.4, p. 145",structural,3,FALSE,0
text_model_indicator_direct,"Section 4, p. 146",definitional,1,FALSE,0
text_model_indicator_adjacent,"Section 4, p. 146",definitional,1,FALSE,0
text_ri_permutations,"Section 4, p. 147",definitional,10000,TRUE,0
text_r1_direct_m1,"Section 5.1, p. 147",pipeline,2.5,TRUE,1
text_r1_direct_m1_se,"Section 5.1, p. 147",pipeline,2.7,TRUE,1
text_r1_spillover_m1,"Section 5.1, p. 147",pipeline,3.7,TRUE,1
text_r1_spillover_m1_se,"Section 5.1, p. 147",pipeline,2.7,TRUE,1
text_r1_direct_m2,"Section 5.1, p. 147",pipeline,2.5,TRUE,1
text_r1_direct_m2_se,"Section 5.1, p. 147",pipeline,1.7,TRUE,1
text_r1_spillover_m2,"Section 5.1, p. 147",pipeline,1.8,TRUE,1
text_r1_spillover_m2_se,"Section 5.1, p. 147",pipeline,1.6,TRUE,1
text_r1_ri_p,"Section 5.1, p. 147",pipeline,0.22,TRUE,2
text_r2_direct_m1,"Section 5.2, p. 147",pipeline,0.9,TRUE,1
text_r2_direct_m2,"Section 5.2, p. 147",pipeline,1.4,TRUE,1
text_r2_ri_p,"Section 5.2, p. 147",pipeline,0.90,TRUE,2
text_r3_direct_m2,"Section 5.3, p. 148",pipeline,1.8,TRUE,1
text_r3_spillover_m2,"Section 5.3, p. 148",pipeline,1.8,TRUE,1
text_r3_ri_p,"Section 5.3, p. 148",pipeline,0.02,TRUE,2
text_r4_direct_m2,"Section 5.4, p. 148",pipeline,1.2,TRUE,1
text_r4_spillover_m2,"Section 5.4, p. 148",pipeline,2.0,TRUE,1
